파일	ID	일본어 원문	기존 번역	신규 번역	수정 사유
overlay-18.json	arm9-overlay:18@00004F04	これ、リカの掟!!	이게 리카의 규칙!!	이게 리카의 철칙!!	掟의 강한 어감 복원
citr.json	text/CITR.DAT#0165	魔を祓い、封印する破邪の力を持つ	마를 물리쳐 봉인하는 파사 힘을 지닌	마를 물리쳐 봉인하는 파사의 힘을 지닌	조사 누락 수정
citr.json	text/CITR.DAT#0189	勝気だが根は優しく、努力家である。	승부욕이 강해도 마음은 다정하다.	승부욕이 강하지만 본성은 다정한 노력가다.	努力家 누락 및 역접 수정
citr.json	text/CITR.DAT#0213	愛銃「エンフィールド・改」を構え、	애총「엔필드・改」를 겨누고,	애총「엔필드・개」를 겨누고,	일본어 한자 잔존 수정
citr.json	text/CITR.DAT#0272	紅蘭の新発明、「いろいろ発射くん」	홍란의 발명품「이것저것 발사군」을	홍란의 새 발명품「이것저것 발사군」을	新 누락 수정
citr.json	text/CITR.DAT#0427	謎の剣術「ミフネ流剣法」の使い手。	검술「미후네류 검법」의 사용자.	수수께끼 검술「미후네류 검법」의 사용자.	謎の 누락 수정
citr.json	text/CITR.DAT#0509	天才的才能と優雅さを持ち、傍若無人。	천재적 재능과 우아함의 방약무인.	천재적 재능과 우아함을 지녔으며 방약무인하다.	비문 수정
citr.json	text/CITR.DAT#0546	華麗にあらわれる自称「謎の貿易商」。	화려한 자칭「수수께끼 무역상」.	화려하게 나타나는 자칭「수수께끼의 무역상」.	あらわれる 누락 수정
citr.json	text/CITR.DAT#0585	先の戦いで殉職した前帝撃副司令の	지난 싸움에서 순직한 부사령관의	지난 싸움에서 순직한 전 제국 화격단 부사령관의	前帝撃 누락 수정
citr.json	text/CITR.DAT#0639	誰のウワサ話をしているのか？	누구 소문을 하고 있는 걸까?	누구에 대한 소문을 퍼뜨리는 걸까?	비문 및 행위 의미 수정
citr.json	text/CITR.DAT#0679	ばち〜ん！と魔物に体当たりする。	쾅~! 하고 마물에 몸통박치기한다.	쾅~! 하고 마물에게 몸통박치기한다.	조사 오류 수정
citr.json	text/CITR.DAT#0765	大神を巴里華撃団に招いた駐在大使。	오오가미를 파리 화격단에 부른 대사.	오오가미를 파리 화격단으로 불러들인 주재 대사.	駐在 누락 수정
citr.json	text/CITR.DAT#0775	巴里華撃団所有の兵器の整備を一手に	파리 화격단 병기의 정비를 도맡아	파리 화격단 소유 병기의 정비를	所有 누락 및 다음 문장 연결 수정
citr.json	text/CITR.DAT#0776	担う。仕事に厳しく頑固で職人気質。	담당. 엄격하고 완고한 장인 기질.	도맡는다. 일에 엄격하고 완고한 장인 기질.	비문 및 仕事に 누락 수정
citr.json	text/CITR.DAT#0799	ベイエリアに治療院を開業している。	베이 에어리어에서 치료원을 운영.	베이 에어리어에서 치료원을 운영한다.	서술어 보완
citr.json	text/CITR.DAT#0863	人型汎用系諜報特化量産型改良兵器。	인간형 첩보 특화 양산형 개량 병기.	인간형 범용 첩보 특화 양산형 개량 병기.	汎用系 누락 수정
citr.json	text/CITR.DAT#0889	人型汎用系諜報特化量産型強化兵器。	인간형 첩보 특화 양산형 강화 병기.	인간형 범용 첩보 특화 양산형 강화 병기.	汎用系 누락 수정
citr.json	text/CITR.DAT#0915	人型汎用系諜報特化量産型暴走兵器。	인간형 첩보 특화 양산형 폭주 병기.	인간형 범용 첩보 특화 양산형 폭주 병기.	汎用系 누락 수정
citr.json	text/CITR.DAT#1047	見てもらいたいです」と被験者が	그분이 봐 줬으면」 하며 피험자가	그분이 봐 주셨으면 해요」라며 피험자가	존댓말 말투 복원
citr.json	text/CITR.DAT#1152	みずからが強引に立候補したために、	스스로 억지로 자원했기에,	본인이 막무가내로 지원했기에,	강한 자발성을 자연스럽게 수정
citr.json	text/CITR.DAT#2449	ぷるぷるしてかわいらしかった魔物。	탱글탱글하고 귀여운 마물.	탱글탱글하고 귀여웠던 마물.	과거형 복원
citr.json	text/CITR.DAT#2475	ぷるぷるしてかわいらしかった魔物。	탱글탱글하고 귀여운 마물.	탱글탱글하고 귀여웠던 마물.	과거형 복원
citr.json	text/CITR.DAT#2557	害もなく、地球にやさしい。	해롭지 않아, 지구에도 친절하다.	해도 없고, 지구 친화적이다.	환경 문맥의 やさしい 수정
citr.json	text/CITR.DAT#2583	地球にやさしくも、やはり魔物。	지구에 친절해도, 역시 마물.	지구 친화적이지만, 역시 마물.	환경 문맥의 やさしい 수정
citr.json	text/CITR.DAT#2683	料理に魂をささげた人情人型降魔。	요리에 혼을 바친 정 많은 강마.	요리에 혼을 바친 정 많은 인간형 강마.	人型 누락 수정
citr.json	text/CITR.DAT#2722	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2748	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2774	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2800	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2826	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2852	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2878	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2904	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#2930	ざーんねんでしたー!!というような	아~쉽게 됐습니다~!! 같은	아~쉽지만 꽝입니다~!! 같은	함정 아이템의 꽝 의미 복원
citr.json	text/CITR.DAT#3751	その意味は「災厄」を意味している。	그 이름은 「재앙」을 뜻한다.	그 말은 「재앙」을 뜻한다.	意味를 이름으로 옮긴 오역 수정
citr.json	text/CITR.DAT#3856	一途に思い続けている……	한결같이 계속 생각한다……	한결같이 연모하고 있다……	왕자를 향한 연정 문맥 복원
citr.json	text/CITR.DAT#3882	あれほどあなたを想っていたのに……	그렇게나 당신을 그리워했는데……	그토록 당신을 연모했는데……	왕자를 향한 연정 문맥 복원
citr.json	text/CITR.DAT#4301	ペシっと当たる隣接１マス攻撃。	찰싹 맞는 인접 1칸 공격.	찰싹 때리는 인접 1칸 공격.	공격 주체의 피동 오류 수정
citr.json	text/CITR.DAT#4327	ペシっと当たる隣接１マス攻撃。	찰싹 맞는 인접 1칸 공격.	찰싹 때리는 인접 1칸 공격.	공격 주체의 피동 오류 수정
citr.json	text/CITR.DAT#4353	ペシっと当たる隣接１マス攻撃。	찰싹 맞는 인접 1칸 공격.	찰싹 때리는 인접 1칸 공격.	공격 주체의 피동 오류 수정
citr.json	text/CITR.DAT#4379	ペシっと当たる隣接１マス攻撃。	찰싹 맞는 인접 1칸 공격.	찰싹 때리는 인접 1칸 공격.	공격 주체의 피동 오류 수정
citr.json	text/CITR.DAT#4607	相手を不幸にさせる気はない……が、	상대를 불행하게 할 생각은 없지만…	상대를 불행하게 할 생각은 없지만……	원문의 망설임 부호 복원
citr.json	text/CITR.DAT#4633	相手を不幸にさせる気はない……が、	상대를 불행하게 할 생각은 없지만…	상대를 불행하게 할 생각은 없지만……	원문의 망설임 부호 복원
citr.json	text/CITR.DAT#4659	相手を怒らせる気はない……が、人の	상대를 화나게 할 생각은 없지만,	상대를 화나게 할 생각은 없지만……	人の는 다음 줄에 배치하고 망설임 복원
citr.json	text/CITR.DAT#4666	勢いあまって本当に殴って、相手が	기세가 넘쳐 진짜로 때리고,	기세 넘쳐 진짜로 때리고, 상대가	相手が 누락 수정
citr.json	text/CITR.DAT#4667	起き上がらなくなるまで何度も隣接	일어나지 못할 때까지 계속	못 일어날 때까지 몇 번이고 인접	何度も·隣接 누락 수정
citr.json	text/CITR.DAT#4668	攻撃しようとするが、特に理由はない。	인접 공격한다. 이유는 없다.	공격하려 하지만, 딱히 이유는 없다.	시도·역접·特に 의미 복원
citr.json	text/CITR.DAT#4685	相手を不幸にさせる気はない……	불행하게 하려는 게 아니라,	상대를 불행하게 할 생각이 없는……	다음 줄과 이어지는 이중 부정 복원
citr.json	text/CITR.DAT#4686	わけではなく、不幸を心から喜び、	불행을 진심으로 기뻐하며,	건 아니고, 불행을 진심으로 기뻐하며,	누락된 이중 부정 복원
citr.json	text/CITR.DAT#4692	勢いあまって本当に殴って、相手が	기세가 넘쳐 진짜로 때리고,	기세 넘쳐 진짜로 때리고, 상대가	相手が 누락 수정
citr.json	text/CITR.DAT#4693	起き上がらなくなるまで何度も隣接	일어나지 못할 때까지 계속	못 일어날 때까지 몇 번이고 인접	何度も·隣接 누락 수정
citr.json	text/CITR.DAT#4694	攻撃しようとするが、特に理由はない。	인접 공격한다. 이유는 없다.	공격하려 하지만, 딱히 이유는 없다.	시도·역접·特に 의미 복원
arm9.json	arm9@0017C988	帝都司令室	제도 사령실	제도 사령관실	사용자 지정 용어 司令=사령관 반영
arm9.json	arm9@0017C994	巴里司令室	파리 사령실	파리 사령관실	사용자 지정 용어 司令=사령관 반영
arm9.json	arm9@0017C9A0	紐育司令室	뉴욕 사령실	뉴욕 사령관실	사용자 지정 용어 司令=사령관 반영
citr.json	text/CITR.DAT#0486	研修医でもある。霊力がすごく高い。	연수의이기도 하며 영력이 매우 높다.	수련의이기도 하며 영력이 매우 높다.	의학 용어 수정
citr.json	text/CITR.DAT#0492	研修医という職業を活かし、	연수의라는 직업을 살려,	수련의라는 직업을 살려,	의학 용어 수정
arm9.json	arm9@0018947C	加山ロボ・改	카야마 로봇・改	카야마 로봇・개	일본어 한자 잔존 수정
overlay-14.json	arm9-overlay:14@000052D0	「携帯キネマトロン改」や！	「휴대 키네마트론改」데이!	「휴대 키네마트론 개」데이!	일본어 한자 잔존 수정
overlay-16.json	arm9-overlay:16@00002E50	おっと、携帯キネマトロン改に	앗, 휴대 키네마트론改에	앗, 휴대 키네마트론 개에	일본어 한자 잔존 수정
overlay-16.json	arm9-overlay:16@00002F4C	携帯キネマトロン改に着信だ……	휴대 키네마트론改에 착신……	휴대 키네마트론 개에 착신……	일본어 한자 잔존 수정
overlay-16.json	arm9-overlay:16@00002F8C	携帯キネマトロン改はいいなぁ。	휴대 키네마트론改는 좋구나.	휴대 키네마트론 개는 좋구나.	일본어 한자 잔존 수정
overlay-18.json	arm9-overlay:18@00003024	川！	川！	강!	동시 편집으로 되돌아간 미번역 재수정
overlay-18.json	arm9-overlay:18@000030B8	加山！	加山！	카야마!	동시 편집으로 되돌아간 미번역 재수정
overlay-18.json	arm9-overlay:18@00003270	風林火山！	風林火山！	풍림화산!	동시 편집으로 되돌아간 미번역 재수정
overlay-18.json	arm9-overlay:18@00003320	山！	山！	산!	동시 편집으로 되돌아간 미번역 재수정
overlay-18.json	arm9-overlay:18@0000356C	朝ゴハン作りすぎちゃって……	아침을 너무 많이 만들어서…	아침을 너무 많이 만들어서……	원문의 말줄임표 복원
overlay-23.json	arm9-overlay:23@00006178	携帯キネマトロン改に	휴대 키네마트론改에	휴대 키네마트론 개에	일본어 한자 잔존 수정
citr.json	text/CITR.DAT#0165	魔を祓い、封印する破邪の力を持つ	마를 봉인하는 파사의 힘을 지닌	마를 물리쳐 봉인하는 파사의 힘을 지닌	동시 편집으로 빠진 祓い 복원
citr.json	text/CITR.DAT#0213	愛銃「エンフィールド・改」を構え、	애총「엔필드・改」를 겨누고,	애총「엔필드・개」를 겨누고,	동시 편집 후 일본어 한자 잔존 재수정
citr.json	text/CITR.DAT#0272	紅蘭の新発明、「いろいろ発射くん」	홍란의 신발명「이것저것 발사군」을	홍란의 새 발명품「이것저것 발사군」을	부자연스러운 축약 복원
citr.json	text/CITR.DAT#0427	謎の剣術「ミフネ流剣法」の使い手。	수수께끼「미후네류 검법」의 사용자.	수수께끼의 검술「미후네류 검법」의 사용자.	剣術 누락 복원
citr.json	text/CITR.DAT#0509	天才的才能と優雅さを持ち、傍若無人。	천재적 재능과 우아함, 방약무인하다.	천재적 재능과 우아함을 지녔으며 방약무인하다.	비문 수정
citr.json	text/CITR.DAT#0546	華麗にあらわれる自称「謎の貿易商」。	화려히 등장하는 자칭 수수께끼 상인.	화려하게 나타나는 자칭「수수께끼의 무역상」.	명칭과 의미 복원
citr.json	text/CITR.DAT#0585	先の戦いで殉職した前帝撃副司令の	지난 싸움에서 순직한 전 제격	지난 싸움에서 순직한 전 제국 화격단	알아보기 어려운 강제 축약 해제
citr.json	text/CITR.DAT#0586	藤枝あやめの妹。陸軍中尉でもある。	부사령관 아야메의 동생. 육군중위.	부사령관 후지에다 아야메의 동생. 육군 중위이기도 하다.	성씨·でもある 누락 및 띄어쓰기 수정
citr.json	text/CITR.DAT#0765	大神を巴里華撃団に招いた駐在大使。	오오가미를 파리화격단에 부른 대사.	오오가미를 파리 화격단으로 불러들인 주재 대사.	駐在 누락 및 띄어쓰기 수정
citr.json	text/CITR.DAT#0776	担う。仕事に厳しく頑固で職人気質。	도맡는다. 일에 엄격한 장인 기질.	도맡는다. 일에 엄격하고 완고한 장인 기질.	頑固 누락 복원
citr.json	text/CITR.DAT#0799	ベイエリアに治療院を開業している。	베이 에어리어에서 치료원을 운영.	베이 에어리어에서 치료원을 운영한다.	서술어 보완
citr.json	text/CITR.DAT#0863	人型汎用系諜報特化量産型改良兵器。	인간형 범용 첩보특화 양산형 개량기.	인간형 범용 첩보 특화 양산형 개량 병기.	용어와 띄어쓰기 복원
citr.json	text/CITR.DAT#0889	人型汎用系諜報特化量産型強化兵器。	인간형 범용 첩보특화 양산형 강화기.	인간형 범용 첩보 특화 양산형 강화 병기.	용어와 띄어쓰기 복원
citr.json	text/CITR.DAT#0915	人型汎用系諜報特化量産型暴走兵器。	인간형 범용 첩보특화 양산형 폭주기.	인간형 범용 첩보 특화 양산형 폭주 병기.	용어와 띄어쓰기 복원
citr.json	text/CITR.DAT#2449	ぷるぷるしてかわいらしかった魔物。	탱글탱글하고 귀여운 마물.	탱글탱글하고 귀여웠던 마물.	과거형 복원
citr.json	text/CITR.DAT#2475	ぷるぷるしてかわいらしかった魔物。	탱글탱글하고 귀여운 마물.	탱글탱글하고 귀여웠던 마물.	과거형 복원
citr.json	text/CITR.DAT#2683	料理に魂をささげた人情人型降魔。	요리에 혼을 바친 정 깊은 인간 강마.	요리에 혼을 바친 정 깊은 인간형 강마.	人型의 정확한 용어 복원
citr.json	text/CITR.DAT#4607	相手を不幸にさせる気はない……が、	상대를 불행하게 할 생각은 없지만…	상대를 불행하게 할 생각은 없지만……	원문의 망설임 부호 복원
citr.json	text/CITR.DAT#4633	相手を不幸にさせる気はない……が、	상대를 불행하게 할 생각은 없지만…	상대를 불행하게 할 생각은 없지만……	원문의 망설임 부호 복원
citr.json	text/CITR.DAT#4686	わけではなく、不幸を心から喜び、	건 아니고, 불행을 진심으로 기뻐하며	건 아니고, 불행을 진심으로 기뻐하며,	문장 연결 쉼표 복원
citr.json	text/CITR.DAT#4870	抱き続ける錬金術師の成れの果て。	품은 연금술사의 말로.	계속 품고 있는 연금술사의 말로.	続ける의 지속 의미 복원
citr.json	text/CITR.DAT#4933	当たった魔物は、倍速になる。	맞은 마물은 배속이 된다.	맞은 마물은 배속 상태가 된다.	부자연스러운 상태 표현 수정
citr.json	text/CITR.DAT#5104	あなたの元へ。今なら妖力全開です。	당신 곁으로. 지금은 요력 전개!	당신 곁으로. 지금이라면 요력 완전 개방!	今なら와 全開 오역 수정
citr.json	text/CITR.DAT#5260	特に複雑な思考を要することなく、	복잡한 사고 없이,	특별히 복잡한 사고 없이,	特に 누락 복원
citr.json	text/CITR.DAT#5312	多くの妖力を発揮させながら	강한 요력을 발휘하면서	많은 요력을 발휘하면서	양을 강도로 바꾼 오역 수정
citr.json	text/CITR.DAT#5338	顔も知らぬ開発者の、残虐性と醜悪な	정체 모를 개발자의 잔혹과 추악함을	얼굴도 모르는 개발자의 잔학성과 추악한	수식 관계와 다음 문장 연결 복원
citr.json	text/CITR.DAT#5339	人格をうかがい知ることができる。	통해 인격을 짐작할 수 있다.	인격을 엿볼 수 있다.	앞 문장과의 연결 수정
citr.json	text/CITR.DAT#5364	顔も知らぬ開発者の、残虐性と醜悪な	정체 모를 개발자의 잔혹과 추악함을	얼굴도 모르는 개발자의 잔학성과 추악한	수식 관계와 다음 문장 연결 복원
citr.json	text/CITR.DAT#5365	人格をうかがい知ることができる。	통해 인격을 짐작할 수 있다.	인격을 엿볼 수 있다.	앞 문장과의 연결 수정
citr.json	text/CITR.DAT#5755	ため、重心バランスがあまり良くない。	무게 균형이 좋지 않다.	때문에 무게중심의 균형이 그다지 좋지 않다.	원인 연결·重心·あまり 누락 복원
citr.json	text/CITR.DAT#5780	重心バランスに対する改善策は、	무게 균형 개선책은	무게중심의 균형에 대한 개선책은,	重心과 조사 복원
citr.json	text/CITR.DAT#5781	特に何もない。バランスは悪いまま。	없다. 균형은 여전히 나쁘다.	별다른 건 없다. 균형은 여전히 나쁘다.	特に何もない 누락 복원
citr.json	text/CITR.DAT#5856	風の力を極めた仙人が、慢心から	바람의 힘을 극한까지 익힌 선인이	바람의 힘을 극한까지 익힌 선인이 오만으로	慢心から 누락 복원
citr.json	text/CITR.DAT#5857	邪な心に支配され、魔人と化した姿。	오만으로 사악해져 마인이 된 모습.	사악한 마음에 지배되어 마인이 된 모습.	邪な心과 피동 관계 복원
citr.json	text/CITR.DAT#5882	風の力を極めた仙人が、慢心から	바람의 힘을 극한까지 익힌 선인이	바람의 힘을 극한까지 익힌 선인이 오만으로	慢心から 누락 복원
citr.json	text/CITR.DAT#5883	邪の心に支配され、魔人と化した姿。	사악함에 지배돼 마인이 된 모습.	사악한 마음에 지배되어 마인이 된 모습.	명사 수식과 말투 명료화
citr.json	text/CITR.DAT#5993	通常攻撃しようにも手段がわからず、	통상공격 방법을 몰라 고민하다	통상공격을 하려 해도 방법을 몰라,	원문에 없는 고민 제거 및 다음 문장 연결
citr.json	text/CITR.DAT#6019	通常攻撃しようにも手段がわからず、	통상공격 방법을 몰라 고민하다	통상공격을 하려 해도 방법을 몰라,	원문에 없는 고민 제거 및 다음 문장 연결
citr.json	text/CITR.DAT#6045	通常攻撃しようにも手段がわからず、	통상공격 방법을 몰라 고민하다	통상공격을 하려 해도 방법을 몰라,	원문에 없는 고민 제거 및 다음 문장 연결
citr.json	text/CITR.DAT#6220	なめると甘い……む、そちは、なめる	핥으면 달콤…… 그대는 핥는	핥으면 달콤…… 음, 그대는 핥는	감탄사 む 복원
citr.json	text/CITR.DAT#6223	トロピカルな味はしないでおじゃる。	열대 과일 맛은 안 나옵니다.	열대 과일 맛은 나지 않사옵니다.	おじゃる 고어체 복원
citr.json	text/CITR.DAT#6247	魅惑の豊満ふわふわボディでおじゃる。	매혹적인 푹신한 풍만한 몸이옵니다.	매혹적이고 풍만하며 푹신한 몸이옵니다.	부자연스러운 관형어 배열 수정
citr.json	text/CITR.DAT#6327	に戻りたいと哀愁をただよわせている。	그 시절을 그리워한다.	그 시절로 돌아가고 싶다며 애수를 풍긴다.	戻りたい와 哀愁 누락 복원
citr.json	text/CITR.DAT#6376	ことを誇りとしている人形の魔物。	것을 자랑하는 인형 마물.	것을 자랑스러워하는 인형 마물.	誇りとしている 의미 수정
citr.json	text/CITR.DAT#6402	ことを誇りとしている人形の魔物。	것을 자랑하는 인형 마물.	것을 자랑스러워하는 인형 마물.	誇りとしている 의미 수정
citr.json	text/CITR.DAT#6428	ことを誇りとしている人形の魔物。	것을 자랑하는 인형 마물.	것을 자랑스러워하는 인형 마물.	誇りとしている 의미 수정
citr.json	text/CITR.DAT#6386	『２トランプショット』	『2 트럼프 샷』	『2 카드 샷』	플레잉 카드 용어 통일
citr.json	text/CITR.DAT#6412	『３トランプショット』	『3 트럼프 샷』	『3 카드 샷』	플레잉 카드 용어 통일
citr.json	text/CITR.DAT#6438	『４トランプショット』	『4 트럼프 샷』	『4 카드 샷』	플레잉 카드 용어 통일
citr.json	text/CITR.DAT#6464	『５トランプショット』	『5 트럼프 샷』	『5 카드 샷』	플레잉 카드 용어 통일
citr.json	text/CITR.DAT#6508	ことも多い。だが、降魔の進化は早く、	올라오기도 한다. 진화가 빨라,	올라오기도 한다. 하지만 강마의 진화는 빨라,	역접과 주어 누락 복원
citr.json	text/CITR.DAT#6560	北欧で恐れられているタコの能力をも	북유럽의 무서운 문어 능력도	북유럽에서 두려움받는 문어의 능력도	피동 관계 수정
citr.json	text/CITR.DAT#6691	近づくと正体を現し、ネコババする。	다가오면 정체 드러내 네코바바한다.	다가오면 정체를 드러내 슬쩍 훔친다.	일본 관용어를 의미 번역
citr.json	text/CITR.DAT#6700	気がつけば、金１０だけを奪う。	정신 차리면 돈 10만 빼앗는다.	정신 차리면 돈을 10만큼 빼앗는다.	10만 원으로 오독될 표현 수정
citr.json	text/CITR.DAT#6717	あっという間に、ネコババする。	눈 깜짝할 새 네코바바한다.	눈 깜짝할 새 슬쩍 훔친다.	일본 관용어를 의미 번역
citr.json	text/CITR.DAT#7358	象徴される人物、物事を称えるため、	상징하는 인물·사물을 기리기 위해,	상징되는 인물·사물을 기리기 위해,	수동 관계 수정
overlay-32.json	arm9-overlay:32@00000A84	逃がさぬぞ、大神一郎。	못 놓친다, 오오가미 이치로.	놓치지 않겠다, 오오가미 이치로.	부자연스러운 부정 표현 수정
overlay-32.json	arm9-overlay:32@00000A9C	逃がさぬぞ、大河新次郎。	못 놓친다, 타이가 신지로.	놓치지 않겠다, 타이가 신지로.	부자연스러운 부정 표현 수정
overlay-32.json	arm9-overlay:32@00000B54	かならず償ってもらうぞ!!	반드시 갚게 하겠다!!	반드시 대가를 치르게 하겠다!!	償う의 대가 의미 복원
overlay-32.json	arm9-overlay:32@00000C84	ジャンヌは、アイリスたちの	잔느는 아이리스들의	잔느는 아이리스 일행의	부자연스러운 복수 표현 수정
overlay-32.json	arm9-overlay:32@00000E2C	思いを理解して、消えた……	마음을 이해하고 사라졌어…	마음을 이해하고 사라졌어……	원문의 말줄임표 복원
overlay-32.json	arm9-overlay:32@00000E64	わからないのか……バカが。	그것도 모르나……바보.	그것도 모르나……바보가.	모욕적 말투 복원
overlay-32.json	arm9-overlay:32@00000ED0	ジャンヌは、リカたちの	잔느는 리카들의	잔느는 리카 일행의	부자연스러운 복수 표현 수정
overlay-32.json	arm9-overlay:32@000011AC	したがうだけの、役立たずよ！	따를 뿐인 쓸모없는 놈!	따를 뿐인 쓸모없는 녀석이지!	성별을 단정한 표현과 종결 말투 수정
overlay-32.json	arm9-overlay:32@00001204	外道……ジャンヌを最初から	말종이……잔느를 처음부터	인간말종……잔느를 처음부터	호격을 주격으로 바꾼 오류 수정
overlay-32.json	arm9-overlay:32@00001464	貴様だけは、絶対に許さん！	네놈만은 절대 용서 못 해!	네놈만은 절대 용서 못 한다!	거친 단정형 말투 복원
overlay-18.json	arm9-overlay:18@00003024	川！	강!	川！	사용자 지정 lips01_03 원본 한자 유지 및 LIPS 일관성 복구
overlay-18.json	arm9-overlay:18@000030B8	加山！	카야마!	加山！	사용자 지정 lips01_03 원본 한자 유지 및 LIPS 일관성 복구
overlay-18.json	arm9-overlay:18@00003270	風林火山！	풍림화산!	風林火山！	사용자 지정 lips01_03 원본 한자 유지 및 LIPS 일관성 복구
overlay-18.json	arm9-overlay:18@00003320	山！	산!	山！	사용자 지정 lips01_03 원본 한자 유지 및 LIPS 일관성 복구
overlay-25.json	arm9-overlay:25@00003A64	ジル……ジル・ド・レイか。	질…… 질 드 레이인가.	질……질 드 레인가.	인명 표기 통일 및 JSON 쉼표 복구
arm9.json	arm9@0018985C	ジル・ド・レイ	질 드 레이	질 드 레	인명 표기 통일
overlay-16.json	arm9-overlay:16@00002718	ジル・ド・レイという人物……	질 드 레이라는 인물……	질 드 레라는 인물……	인명 표기 통일
overlay-23.json	arm9-overlay:23@0000638C	ジル・ド・レイと申す。	질 드 레이라고 하오.	질 드 레라고 하오.	인명 표기 통일
overlay-24.json	arm9-overlay:24@00004E24	ジル・ド・レイ！	질 드 레이!	질 드 레!	인명 표기 통일
overlay-24.json	arm9-overlay:24@00004EB8	ワシの名はジル・ド・レイ。	내 이름은 질 드 레이.	내 이름은 질 드 레.	인명 표기 통일
